catalog_id,japanese_name,english_name,scientific_name,taxon_group,min_depth_m,max_depth_m,depth_evidence_note,size_note,gameplay_visual_note,primary_source_url,taxonomy_source_url,image_reference_url,image_rights_note,source_checked_date
I015,,Giant larvacean,Bathochordaeus charon,jelly_ctenophore_plankton,268,410,OBIS returned-record depth envelope from available records,animal body a few cm and mucus house over 1 m,tadpolelike body inside a large mesh mucus filter house,https://api.obis.org/v3/occurrence?taxonid=103394&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=103394,https://dsg.mbari.org/dsg/view/concept/Bathochordaeus%20charon,reference-only; rights verification required,2026-08-06
I016,,String jelly,Marrus orthocanna,jelly_ctenophore_plankton,1,2010,OBIS returned-record depth envelope; 0 m can be tow interval,colonial body can exceed 1 m,vertical siphonophore colony with swimming bells and fishing tentacles,https://api.obis.org/v3/occurrence?taxonid=135494&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=135494,https://www.marinespecies.org/DeepSea/aphia.php?p=image&pic=64169&tid=135494,reference-only; rights verification required,2026-08-06
I017,,Siphonophore,Erenna richardi,jelly_ctenophore_plankton,0,3500,OBIS returned-record depth envelope; 0 m can be tow interval,colonial length variable,long narrow colonial body with reddish feeding tentilla,https://api.obis.org/v3/occurrence?taxonid=135487&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=135487,https://dsg.mbari.org/dsg/view/concept/Erenna%20richardi,reference-only; rights verification required,2026-08-06
I018,,Cone siphonophore,Bathyphysa conifera,jelly_ctenophore_plankton,4022,4022,OBIS reported depth from 2 records,colonial length variable,elongate stemmed colony with a dense siphosome and long fishing filaments,https://api.obis.org/v3/occurrence?taxonid=135480&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=135480,https://dsg.mbari.org/dsg/view/concept/Bathyphysa%20conifera,reference-only; rights verification required,2026-08-06
I019,,Giant siphonophore,Praya dubia,jelly_ctenophore_plankton,0,3625,OBIS returned-record depth envelope; 0 m can be tow interval,colonial length can reach many metres,pair of swimming nectophores leading an extremely long transparent colony,https://api.obis.org/v3/occurrence?taxonid=135466&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=135466,https://dsg.mbari.org/dsg/view/concept/Praya%20dubia,reference-only; rights verification required,2026-08-06
I020,,Blue-tailed giant larvacean,Bathochordaeus mcnutti,jelly_ctenophore_plankton,50,1400,MBARI video reports usual 90 to 120 m and rare records to 1400 m,adult body 3 to 10 cm and mucus house about 1 m,small trunk with a blue tail outline inside a large mucus filter house,https://pmc.ncbi.nlm.nih.gov/articles/PMC5159439/,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1027018,https://dsg.mbari.org/dsg/view/concept/Oikopleuridae,reference-only; rights verification required,2026-08-06
I021,ダイオウイカ,Giant squid,Architeuthis dux,squid,0,1585,OBIS returned-record depth envelope; 0 m can be tow interval,mantle to about 2 m and total length over 10 m,very long feeding tentacles with large sucker clubs,https://api.obis.org/v3/occurrence?taxonid=342218&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=342218,https://www.fao.org/docrep/014/i1920e/i1920e.pdf,reference-only; rights verification required,2026-08-06
I022,,Colossal squid,Mesonychoteuthis hamiltoni,squid,50,3111,OBIS returned-record depth envelope from 53 records,mantle to about 2.5 m and mass over 400 kg,broad mantle with huge eyes and hooks on tentacle clubs,https://api.obis.org/v3/occurrence?taxonid=325299&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=325299,https://www.fao.org/docrep/014/i1920e/i1920e.pdf,reference-only; rights verification required,2026-08-06
I023,,Atlantic bigfin squid,Magnapinna atlantica,squid,1000,4800,reported deep-sea sighting range in taxonomic literature,mantle about 25 cm with arm filaments several metres,long arm and tentacle filaments bend at near right angles,https://doi.org/10.1111/j.1096-3642.2006.00277.x,https://www.marinespecies.org/aphia.php?p=taxdetails&id=342363,https://www.fao.org/docrep/014/i1920e/i1920e.pdf,reference-only; rights verification required,2026-08-06
I024,コウモリダコ,Vampire squid,Vampyroteuthis infernalis,squid,0,7800,OBIS returned-record depth envelope; 0 m can be tow interval,total length about 30 cm,dark red webbed arms with photophores and large blue eyes,https://api.obis.org/v3/occurrence?taxonid=141887&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=141887,https://www.fao.org/docrep/014/i1920e/i1920e.pdf,reference-only; rights verification required,2026-08-06
I025,,Reverse jewel squid,Histioteuthis reversa,squid,0,4332,OBIS returned-record depth envelope; 0 m can be tow interval,mantle about 25 cm,asymmetrical eyes and dense photophores over the mantle,https://api.obis.org/v3/occurrence?taxonid=181381&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=181381,https://www.fao.org/docrep/014/i1920e/i1920e.pdf,reference-only; rights verification required,2026-08-06
I026,,Strawberry squid,Histioteuthis heteropsis,squid,0,1480,OBIS returned-record depth envelope; 0 m can be tow interval,mantle about 30 cm,one enlarged eye and a mantle studded with photophores,https://api.obis.org/v3/occurrence?taxonid=341868&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=341868,https://www.fao.org/docrep/014/i1920e/i1920e.pdf,reference-only; rights verification required,2026-08-06
I027,,Dana octopus squid,Taningia danae,squid,0,2489,OBIS returned-record depth envelope; 0 m can be tow interval,mantle to about 1.7 m,two very large bioluminescent photophores on the arm tips,https://api.obis.org/v3/occurrence?taxonid=140609&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=140609,https://www.fao.org/docrep/014/i1920e/i1920e.pdf,reference-only; rights verification required,2026-08-06
I028,,Peacock squid,Taonius pavo,squid,0,3449,OBIS returned-record depth envelope; 0 m can be tow interval,mantle about 50 cm,large eyes and a gelatinous translucent mantle in young stages,https://api.obis.org/v3/occurrence?taxonid=139428&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=139428,https://www.fao.org/docrep/014/i1920e/i1920e.pdf,reference-only; rights verification required,2026-08-06
I029,,Cranchiidae squid,Galiteuthis phyllura,squid,0,2226,OBIS returned-record depth envelope; 0 m can be tow interval,mantle about 40 cm,gelatinous transparent body with a long pointed tail,https://api.obis.org/v3/occurrence?taxonid=341807&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=341807,https://www.fao.org/docrep/014/i1920e/i1920e.pdf,reference-only; rights verification required,2026-08-06
I030,,Clawed armhook squid,Gonatus onyx,squid,0,1289,OBIS returned-record depth envelope; 0 m can be tow interval,mantle about 18 cm,muscular dark mantle with hooks on the arms,https://api.obis.org/v3/occurrence?taxonid=341859&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=341859,https://www.fao.org/docrep/014/i1920e/i1920e.pdf,reference-only; rights verification required,2026-08-06
I031,,Calyx squid,Chiroteuthis calyx,squid,0,1829,OBIS returned-record depth envelope; 0 m can be tow interval,mantle about 20 cm with a long tail,elongate neck and tail with oversized eyes,https://api.obis.org/v3/occurrence?taxonid=341796&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=341796,https://www.fao.org/docrep/014/i1920e/i1920e.pdf,reference-only; rights verification required,2026-08-06
I032,,Deep-sea squid,Bathyteuthis abyssicola,squid,0,5014,OBIS returned-record depth envelope; 0 m can be tow interval,mantle about 10 cm,compact pointed mantle with broad fins and stout arms,https://api.obis.org/v3/occurrence?taxonid=138848&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=138848,https://www.fao.org/docrep/014/i1920e/i1920e.pdf,reference-only; rights verification required,2026-08-06
I033,,Joubin's squid,Joubiniteuthis portieri,squid,0,2259,OBIS returned-record depth envelope; 0 m can be tow interval,mantle about 30 cm,slender elongate squid with a pointed tail and long tentacles,https://api.obis.org/v3/occurrence?taxonid=879785&size=500,https://www.marinespecies.org/aphia.php?p=taxdetails&id=879785,https://www.fao.org/docrep/014/i1920e/i1920e.pdf,reference-only; rights verification required,2026-08-06
I034,,Fire whip-lash squid,Mastigoteuthis flammea,squid,0,1000,OBIS returned-record depth envelope from 6 records,mantle about 25 cm with very long tentacles,slender body and whip-like elongate tentacles,https://api.obis.org/v3/occurrence?taxonid=181383&size=500,https://www.marinespecies.org/aphia.php?p=taxdetails&id=181383,https://www.fao.org/docrep/014/i1920e/i1920e.pdf,reference-only; rights verification required,2026-08-06
I035,,Octopus squid,Octopoteuthis deletron,squid,0,1267,OBIS returned-record depth envelope; 0 m can be tow interval,mantle about 20 cm,octopus-like arms with luminous tissues and a tapered mantle,https://api.obis.org/v3/occurrence?taxonid=342057&size=500,https://www.marinespecies.org/aphia.php?p=taxdetails&id=342057,https://www.fao.org/docrep/014/i1920e/i1920e.pdf,reference-only; rights verification required,2026-08-06
I036,,Sharpear enope squid,Ancistrocheirus lesueurii,squid,0,3948,OBIS returned-record depth envelope; 0 m can be tow interval,mantle about 40 cm,large eyes and arm hooks on a muscular reddish mantle,https://api.obis.org/v3/occurrence?taxonid=138747&size=500,https://www.marinespecies.org/aphia.php?p=taxdetails&id=138747,https://www.fao.org/docrep/014/i1920e/i1920e.pdf,reference-only; rights verification required,2026-08-06
I037,,Pacific warty octopus,Graneledone boreopacifica,octopus,30,3062,OBIS returned-record depth envelope,mantle about 30 cm,soft warty skin and eight stout arms without fins,https://api.obis.org/v3/occurrence?taxonid=342222&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=342222,https://www.fao.org/docrep/014/i1920e/i1920e.pdf,reference-only; rights verification required,2026-08-06
I038,,Warty octopus,Graneledone verrucosa,octopus,0,2926,OBIS returned-record depth envelope; 0 m can be tow interval,mantle about 20 cm,warty mantle texture and robust benthic arms,https://api.obis.org/v3/occurrence?taxonid=157019&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=157019,https://www.fao.org/docrep/014/i1920e/i1920e.pdf,reference-only; rights verification required,2026-08-06
I039,,Dumbo octopus,Grimpoteuthis bathynectes,octopus,2940,3932,OBIS reported-depth envelope from available records,total length about 30 cm,large ear-like fins and webbed arms with cirri,https://api.obis.org/v3/occurrence?taxonid=342082&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=342082,https://www.fao.org/docrep/014/i1920e/i1920e.pdf,reference-only; rights verification required,2026-08-06
I040,,Emperor dumbo octopus,Grimpoteuthis imperator,octopus,3913,4417,OBIS reported-depth envelope from 2 records,total length about 30 cm,large lateral fins and a broad web between the arms,https://api.obis.org/v3/occurrence?taxonid=1507664&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1507664,https://www.fao.org/docrep/014/i1920e/i1920e.pdf,reference-only; rights verification required,2026-08-06
I041,,Dumbo octopus,Grimpoteuthis discoveryi,octopus,1702,4877,OBIS returned-record depth envelope,total length about 30 cm,soft mantle with ear-like fins and cirrate webbed arms,https://api.obis.org/v3/occurrence?taxonid=153084&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=153084,https://www.fao.org/docrep/014/i1920e/i1920e.pdf,reference-only; rights verification required,2026-08-06
I042,,Cirrate octopus,Cirroteuthis muelleri,octopus,0,4996,OBIS returned-record depth envelope; 0 m can be tow interval,total length can exceed 1 m,large fins and extensive webbing with fingerlike cirri,https://api.obis.org/v3/occurrence?taxonid=342212&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=342212,https://www.marinespecies.org/DeepSea/aphia.php?p=image&pic=128153&tid=342212,reference-only; rights verification required,2026-08-06
I043,,Blind cirrate octopus,Cirrothauma murrayi,octopus,22,4830,OBIS returned-record depth envelope,total length about 50 cm,gelatinous webbed arms with fins and reduced eyes,https://api.obis.org/v3/occurrence?taxonid=139174&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=139174,https://www.fao.org/docrep/014/i1920e/i1920e.pdf,reference-only; rights verification required,2026-08-06
I044,,Flapjack octopus,Opisthoteuthis agassizii,octopus,100,2353,OBIS returned-record depth envelope,total length about 25 cm,flattened round body with fins and a wide arm web,https://api.obis.org/v3/occurrence?taxonid=140652&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=140652,https://www.fao.org/docrep/014/i1920e/i1920e.pdf,reference-only; rights verification required,2026-08-06
I045,,Stauroteuthis octopus,Stauroteuthis syrtensis,octopus,0,3465,OBIS returned-record depth envelope; 0 m can be tow interval,total length about 50 cm,orange red webbed arms with modified luminous suckers,https://api.obis.org/v3/occurrence?taxonid=153122&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=153122,https://www.marinespecies.org/DeepSea/aphia.php?p=image&pic=30193&tid=153122,reference-only; rights verification required,2026-08-06
I046,,Hydrothermal vent octopus,Vulcanoctopus hydrothermalis,octopus,2492,2694,OBIS reported-depth envelope from 10 records,mantle about 20 cm,pale robust finless octopus associated with vent terrain,https://api.obis.org/v3/occurrence?taxonid=342417&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=342417,https://www.fao.org/docrep/014/i1920e/i1920e.pdf,reference-only; rights verification required,2026-08-06
I047,,Robust octopus,Muusoctopus robustus,octopus,1463,3660,OBIS reported-depth envelope from 8 records,total length can exceed 1 m,large finless benthic octopus with stout arms,https://api.obis.org/v3/occurrence?taxonid=527163&size=500,https://www.marinespecies.org/aphia.php?p=taxdetails&id=527163,https://www.fao.org/docrep/014/i1920e/i1920e.pdf,reference-only; rights verification required,2026-08-06
I048,,Smoothskin octopus,Muusoctopus leioderma,octopus,15,2370,OBIS returned-record depth envelope,total length about 60 cm,smooth mantle and long finless arms,https://api.obis.org/v3/occurrence?taxonid=1043781&size=500,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1043781,https://www.fao.org/docrep/014/i1920e/i1920e.pdf,reference-only; rights verification required,2026-08-06
I049,,Bolloid octopus,Japetella diaphana,octopus,0,4000,OBIS returned-record depth envelope; 0 m can be tow interval,total length about 15 cm,nearly transparent gelatinous body with large eyes,https://api.obis.org/v3/occurrence?taxonid=138849&size=500,https://www.marinespecies.org/aphia.php?p=taxdetails&id=138849,https://www.fao.org/docrep/014/i1920e/i1920e.pdf,reference-only; rights verification required,2026-08-06
I050,,Glass octopus,Vitreledonella richardi,octopus,0,2500,OBIS returned-record depth envelope; 0 m can be tow interval,mantle about 10 cm,almost transparent body with cylindrical eyes,https://api.obis.org/v3/occurrence?taxonid=141962&size=500,https://www.marinespecies.org/aphia.php?p=taxdetails&id=141962,https://www.fao.org/docrep/014/i1920e/i1920e.pdf,reference-only; rights verification required,2026-08-06
I051,,Dumbo octopus,Insigniteuthis albatrossi,octopus,309,1679,OBIS returned-record depth envelope,total length about 20 cm,rounded finned body and webbed cirrate arms,https://api.obis.org/v3/occurrence?taxonid=1813559&size=500,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1813559,https://www.fao.org/docrep/014/i1920e/i1920e.pdf,reference-only; rights verification required,2026-08-06
I052,,Antarctic warty octopus,Graneledone antarctica,octopus,185,2341,OBIS returned-record depth envelope,total length about 30 cm,warty dark mantle and robust finless arms,https://api.obis.org/v3/occurrence?taxonid=325322&size=500,https://www.marinespecies.org/aphia.php?p=taxdetails&id=325322,https://www.fao.org/docrep/014/i1920e/i1920e.pdf,reference-only; rights verification required,2026-08-06
I053,,Pacific king crab,Neolithodes diomedeae,crab,160,2454,OBIS returned-record depth envelope,leg span to about 80 cm,spiny triangular carapace with very long king-crab legs,https://api.obis.org/v3/occurrence?taxonid=378126&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=378126,https://www.gbif.org/occurrence/search?scientific_name=Neolithodes%20diomedeae&media_type=StillImage,reference-only; rights verification required,2026-08-06
I054,,Deep-sea king crab,Neolithodes grimaldii,crab,0,3206,OBIS returned-record depth envelope; 0 m can be tow interval,leg span can approach 1 m,large spiny king crab with a high angular carapace,https://api.obis.org/v3/occurrence?taxonid=107206&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=107206,https://www.marinespecies.org/DeepSea/aphia.php?p=image&pic=19002&tid=107206,reference-only; rights verification required,2026-08-06
I055,,Spiny king crab,Paralomis multispina,crab,520,2829,OBIS returned-record depth envelope,leg span about 60 cm,dense carapace spines and long walking legs,https://api.obis.org/v3/occurrence?taxonid=378131&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=378131,https://www.gbif.org/occurrence/search?scientific_name=Paralomis%20multispina&media_type=StillImage,reference-only; rights verification required,2026-08-06
I056,,King crab,Paralomis birsteini,crab,310,1660,OBIS returned-record depth envelope,carapace about 20 cm,spiny crab body with elongated legs and claws,https://api.obis.org/v3/occurrence?taxonid=246545&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=246545,https://www.gbif.org/occurrence/search?scientific_name=Paralomis%20birsteini&media_type=StillImage,reference-only; rights verification required,2026-08-06
I057,,Atlantic deep-sea red crab,Chaceon quinquedens,crab,0,2085,OBIS returned-record depth envelope; 0 m can be tow interval,carapace to about 20 cm,rounded orange red carapace with robust claws,https://api.obis.org/v3/occurrence?taxonid=158407&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=158407,https://www.marinespecies.org/DeepSea/aphia.php?p=image&pic=129219&tid=158407,reference-only; rights verification required,2026-08-06
I058,,Golden deep-sea crab,Chaceon affinis,crab,0,2200,OBIS returned-record depth envelope; 0 m can be tow interval,carapace to about 20 cm,orange to reddish smooth carapace and stout claws,https://api.obis.org/v3/occurrence?taxonid=107369&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=107369,https://www.gbif.org/occurrence/search?scientific_name=Chaceon%20affinis&media_type=StillImage,reference-only; rights verification required,2026-08-06
I059,,Three-spined crab,Geryon trispinosus,crab,0,732,OBIS returned-record depth envelope; 0 m can be tow interval,carapace about 10 cm,round carapace with lateral spines and long claws,https://api.obis.org/v3/occurrence?taxonid=107374&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=107374,https://www.marinespecies.org/DeepSea/aphia.php?p=image&pic=1821&tid=107374,reference-only; rights verification required,2026-08-06
I060,,Spider crab,Cyrtomaia suhmii,crab,271,1130,OBIS returned-record depth envelope,carapace about 12 cm,high pear-shaped carapace with a long recurved rostrum,https://api.obis.org/v3/occurrence?taxonid=441894&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=441894,https://www.gbif.org/occurrence/search?scientific_name=Cyrtomaia%20suhmii&media_type=StillImage,reference-only; rights verification required,2026-08-06
I061,,Deep-sea spider crab,Macroregonia macrochira,crab,800,2700,OBIS returned-record depth envelope,leg span can exceed 1 m,large spider-crab silhouette with very long spiny legs,https://api.obis.org/v3/occurrence?taxonid=442169&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=442169,https://www.inaturalist.org/photos/684151892,reference-only; rights verification required,2026-08-06
I062,,Long-legged spider crab,Dorhynchus thomsoni,crab,0,2080,OBIS returned-record depth envelope; 0 m can be tow interval,carapace about 5 cm,long narrow rostrum and unusually thin legs,https://api.obis.org/v3/occurrence?taxonid=107316&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=107316,https://portal.boldsystems.org/record/SEAKY1214-17,reference-only; rights verification required,2026-08-06
I063,,Hoff crab,Kiwa tyleri,crab,2395,2600,OBIS reported-depth envelope from 3 records,carapace about 6 cm,pale crab with dense hairlike setae on the claws and chest,https://api.obis.org/v3/occurrence?taxonid=850310&size=500,https://www.marinespecies.org/aphia.php?p=taxdetails&id=850310,https://www.gbif.org/occurrence/search?scientific_name=Kiwa%20tyleri&media_type=StillImage,reference-only; rights verification required,2026-08-06
I064,,Yeti crab,Kiwa hirsuta,crab,220,2228,OBIS returned-record depth envelope from 3 records,carapace about 15 cm,white hairy claws and long pale walking legs,https://api.obis.org/v3/occurrence?taxonid=249751&size=500,https://www.marinespecies.org/aphia.php?p=taxdetails&id=249751,https://www.gbif.org/occurrence/search?scientific_name=Kiwa%20hirsuta&media_type=StillImage,reference-only; rights verification required,2026-08-06
I065,,Hydrothermal vent crab,Bythograea thermydron,crab,1000,3300,OBIS returned-record depth envelope,carapace about 15 cm,pale robust vent crab with large dark-tipped claws,https://api.obis.org/v3/occurrence?taxonid=440289&size=500,https://www.marinespecies.org/aphia.php?p=taxdetails&id=440289,https://www.gbif.org/occurrence/search?scientific_name=Bythograea%20thermydron&media_type=StillImage,reference-only; rights verification required,2026-08-06
I066,,Vent crab,Segonzacia mesatlantica,crab,813,4087,OBIS returned-record depth envelope,carapace about 15 cm,pale deep-vent crab with smooth shell and stout chelae,https://api.obis.org/v3/occurrence?taxonid=107266&size=500,https://www.marinespecies.org/aphia.php?p=taxdetails&id=107266,https://www.gbif.org/occurrence/search?scientific_name=Segonzacia%20mesatlantica&media_type=StillImage,reference-only; rights verification required,2026-08-06
I067,,Carrier crab,Homola barbata,crab,0,712,OBIS returned-record depth envelope; 0 m can be tow interval,carapace about 10 cm,long rear legs are adapted to carry objects over the carapace,https://api.obis.org/v3/occurrence?taxonid=107262&size=500,https://www.marinespecies.org/aphia.php?p=taxdetails&id=107262,https://www.gbif.org/occurrence/search?scientific_name=Homola%20barbata&media_type=StillImage,reference-only; rights verification required,2026-08-06
I068,,Deep-sea crab,Ethusina abyssicola,crab,860,4120,OBIS returned-record depth envelope from 25 records,carapace about 5 cm,small rounded crab with a compact oval carapace,https://api.obis.org/v3/occurrence?taxonid=209493&size=500,https://www.marinespecies.org/aphia.php?p=taxdetails&id=209493,https://www.gbif.org/occurrence/search?scientific_name=Ethusina%20abyssicola&media_type=StillImage,reference-only; rights verification required,2026-08-06
